Tweet_count,Username,Text,Created At,Retweets,Likes
79,Autos Pueblo,@catturd2 She will compete in the Olympics!,Mon Aug 19 23:54:02 +0000 2024,0,0
80,Greg The Stop Sign,"@Rob_ThaBuilder Totally agree. It's strange that they believe we want them silenced when, actually, we want them to speak more because they are peaking the world. I am convinced that the Olympic boxing fiasco peaked more people than we could dream of. And, soon, Jeffrey Marsh at the DNC. 🍿",Mon Aug 19 23:54:01 +0000 2024,0,5
81,em 🐌🦕,maitane lopez also was unfortunately not selected for the 2024 olympic gymnastics team https://t.co/OP5uxNdrbw,Mon Aug 19 23:54:00 +0000 2024,0,72
82,faizan ali,@mymixtapez Mf high off watching the Olympics.,Mon Aug 19 23:53:57 +0000 2024,0,0
83,stayuponelove2,@TrulyMarv2 @DarcelMusic @ClutchPoints @NightcapShow_ Exactly but to be a sprinter your ego has to be huge just to survive so him being challenged is a difficult thing for a sprinter to resist. If nothing goes wrong he should smoke thill.  As metkalf showed everyone the difference between a nfl athlete and Olympic athlete as he got,Mon Aug 19 23:53:56 +0000 2024,0,0
84,My Endorsement Is,"Raygun sends heartbreaking message after Olympic Games disaster.
https://t.co/k9sPZLmvuv",Mon Aug 19 23:53:45 +0000 2024,0,0
85,Athletor Team,Chael Sonnen praises Gable Stevenson’s character and journey from Olympic gold to WrestleMania on the Athletor Podcast. Learn more about this incredible athlete’s path! 🎧 https://t.co/nBcBAU5jry 🖥️ https://t.co/Q9boONgN97 #WrestlingToWWE #ChaelSonnen https://t.co/5h84wrmvat,Mon Aug 19 23:53:39 +0000 2024,0,2
86,digits,gotta lean up before the olympics hehe,Mon Aug 19 23:53:34 +0000 2024,1,18
87,Trevor Hughes,Looks like Raygun's Olympic breakdance kangaroo kick routine is catching on.,Mon Aug 19 23:53:21 +0000 2024,0,0
88,Ash,"Happy for Jannik 

He skipped the olympics and was able to get a good lead in the rankings. Hopefully does well in the US Open",Mon Aug 19 23:53:19 +0000 2024,0,1
89,alia 💎,OMG THE FAMOUS OLYMPIC MUFFIN,Mon Aug 19 23:53:18 +0000 2024,0,0
90,Gary Hampson,"As a @ChelseaFCW and @GothamFC supporter, all my fellow Blues friends need to chill with the “our preseason form &gt; your midseason form” comments. You’re forgetting that six Gotham starters aren’t playing after winning the Olympic gold medal.",Mon Aug 19 23:53:15 +0000 2024,0,1
91,Rorshok Japan,"With twenty gold, twelve silver, and thirteen bronze, Japan came in third place as the country with the most medals at the Paris Olympics, following the US and China.

Don't miss the latest episode of the Rorshok Japan Update. Link in bio!
#olympics #parisolympics2024 #teamtokyo https://t.co/qI5aoo1Jm7",Mon Aug 19 23:53:05 +0000 2024,0,0
92,CANADA Olympic Fan 🇨🇦,@Shaun_Chi97 Color me shocked,Mon Aug 19 23:53:03 +0000 2024,0,1
93,NoOne,New Post: Americans Hughes and Cheng move on to the quarterfinals in the beach volleyball tournament at the Paris Olympics https://t.co/ktY5W9Jp4o https://t.co/nAPZJHrbHd,Mon Aug 19 23:53:01 +0000 2024,0,0
94,Mr.Slingarang,@IcyVert The special Olympics,Mon Aug 19 23:53:01 +0000 2024,0,0
95,TheRealZiggy777,"@JayeJaybird54 Just so you know, if he was in control a dude would steal her college scholarship, or punch her face in at the olympics if he was in charge.",Mon Aug 19 23:52:59 +0000 2024,0,0
96,Cyrus II of Persia,"@Ghorewaha313 Most Olympic medals in MENA region says otherwise. Mostly thanks to combat sports too. 

Maybe it’s just the ones you’re meeting :)",Mon Aug 19 23:52:52 +0000 2024,0,2
97,nao 🎨 angst connoisseur 🍷,"Sorry but I’m NOT here for the autism Olympics where we judge people on their safe foods!!! Cause like, sure, among autistic people who are on Twitter it’s probably more than nuggies and fries, but for some kids I’ve known it’s ONLY that.",Mon Aug 19 23:52:49 +0000 2024,0,5
98,Briana,"@cfcwchloe I mean realistically we cant compare through these games considering most of their squads are still out from the olympics, i get what they mean like their league has a different winner most years yet the same team have won the wsl 5 times in a row so i do see their point",Mon Aug 19 23:52:35 +0000 2024,0,6
99,DVC Agustin,@VillanuevaMij @barrygutierrez3 Pang olympic Gold. https://t.co/5Im6thN32G,Mon Aug 19 23:52:24 +0000 2024,0,0
100,Morgan Taylor,@cfcwchloe @BrianaEmily09 *see the Olympics*,Mon Aug 19 23:52:24 +0000 2024,0,7
101,Mr. Booty Ham Sandwich,@TheDunkCentral @AndrewDesiderio Someone needs to get up on that stage and starting protesting his terrible rotations in the Olympics,Mon Aug 19 23:52:22 +0000 2024,0,0
102,Coup De Teat,@MiamiPropaganda @DaEthiopianWolf @samnulton @NILES100 nigga the Olympics is the world stage. Just because you don’t or can’t comprehend that it is doesn’t mean that it isn’t. You can have an opinion but that opinion can still be fucking wrong lmao. If the “stage” didn’t matter then why tf would a  country send their best out.,Mon Aug 19 23:52:19 +0000 2024,0,0
103,Punk Revolution Now!,Does anyone know when the Olympics start? I may try actually watching a sport for once.,Mon Aug 19 23:52:19 +0000 2024,1,19
104,✨️🇵🇦 AlwaysOnDeck 🇵🇦✨️,Probably threw the Olympic Gold Medal out the airplane window.,Mon Aug 19 23:52:17 +0000 2024,0,0
105,alessia,"and this coming after everything that’s happened with the RG, wimby, the olympics, number 1 doubts…yeahhhh that means a lot to him 🥺",Mon Aug 19 23:52:15 +0000 2024,0,0
106,Jimmy The Rome,@cardboardbst Olympic champion Bam Adeboyo Optic Red/Gold 1/7 $170 shipped OBO and get a purple /99 and fast break for free! https://t.co/EJrlJ3U6LN,Mon Aug 19 23:52:05 +0000 2024,0,0
107,WERE SO BORED DONT FUCK WIT YO DISCOURSE,How are we supposed to get any kind of following if they release a show during the Olympics &amp; a fucking genocide??? It’s been 1 month!!! 🤬🤬🤬,Mon Aug 19 23:52:01 +0000 2024,1,2
108,"Kwame Osei-Sarfo, PhD","@FlavorFlav being an Olympic hero definitely was not on my Olympics BINGO card. #Olympics2024 #Paralympics2024 

https://t.co/LOKKkjvu8X",Mon Aug 19 23:51:57 +0000 2024,0,1
109,Doc Holliday,"@boozeman37 They are all there Olympic sprinters next to o’Connell. He’s such a statue in the pocket. I literally saw a pigeon shit once. If he wasn’t on this team, he would be the third string quarterback on most other teams. Now, if he gets in the game, I will pull for him.",Mon Aug 19 23:51:53 +0000 2024,0,0
110,lane,Would’ve loved to see this game with gothams best XI but Olympics innit,Mon Aug 19 23:51:45 +0000 2024,0,6
111,Sports with a Slur,2028 USA Olympic Basketball roster predictions. https://t.co/kXDIFozeku via @YouTube we going live at 715 pst tune in,Mon Aug 19 23:51:39 +0000 2024,0,9
112,K,@YankeeGunner £20M for a goalkeeper who at the Olympics was second choice to a goalkeeper who is currently third choice goalkeeper at PSG. SMH.,Mon Aug 19 23:51:39 +0000 2024,0,0
113,Based Conservative,"@JackPosobiec https://t.co/Td2eqpeAXo 

They did the same thing at the olympics recently. They play an applause sound effect in the background since noone's actually clapping in real life. 😂",Mon Aug 19 23:51:34 +0000 2024,0,0
114,Reuben Davis,"'It's disrespectful.' Champion flag football QB intends to battle NFL stars for 2028 Olympics roster spot

https://t.co/KWrq33UJE5",Mon Aug 19 23:51:33 +0000 2024,0,0
115,em 🐌🦕,ella stevens unfortunately was not selected for the 2024 olympic gymnastics team https://t.co/YfdmBXmNPa,Mon Aug 19 23:51:17 +0000 2024,5,65
116,Maximus McMahon🌈 🇺🇦 🏴‍☠️,"@orangishbanana @Simone_Biles 1st let's start with you landing anything at all, anywhere. When you post your efforts you may comment. In the meantime, ponder 11 Olympic medals in silence. Otherwise ... https://t.co/O39QC9nmGN",Mon Aug 19 23:51:17 +0000 2024,0,8
117,Herr Wolf,"@Little_Ms_Nope @jackie_war47673 @ArkLupus @KatKanada_TM @ApostateProphet There is ZERO context that is a adequate defense of that quote, and the 99 others for that matter. You keep doing anything but make a case. Because you cannot. Jewish mental gymnastics should be an Olympic sport.",Mon Aug 19 23:51:31 +0000 2024,0,0
118,ꪖꪶꫀᛕᦓꪗ𐌁🌺,"Lmfaooo my favorite trusted news source 😹🇺🇸

Eddie Griffin Talks Olympic Break Dancer, Steph Saving Lebron,  Kamala H... https://t.co/iXjv2ab3O8 via @YouTube",Mon Aug 19 23:51:14 +0000 2024,0,1
119,im going to miss the olympics,@BryceBombs cancerbacks,Mon Aug 19 23:51:13 +0000 2024,0,1
120,Elvis Wesley,"Bit obvious how this is going, like that rocky 63 , the old hero goes the way, but still holds his pride, getting stupid now sport ,especially boxing, bit like the Olympics😱",Mon Aug 19 23:51:05 +0000 2024,0,0
121,Bowling,"@NCRegister I don't really know most of the other stuff the olympics did that have people pissed, but my question is how were the ioc meant to know a recreation of a famous religious painting would automatically be offensive/demonic in your words?",Mon Aug 19 23:51:02 +0000 2024,0,0
122,PG ᥫ᭡,Everybody loves to talk about hair Olympics but nobody speaks on trip Olympics oh m gee 😫😫,Mon Aug 19 23:51:02 +0000 2024,0,0
123,Ian (Depressed Spurs Fan),Steve Kerr is gonna speak later in this #DNC lmao what is he gonna say? why he benched Tatum in the Olympics??,Mon Aug 19 23:51:01 +0000 2024,0,0
124,Mido,@PharaohsXI Been vouching for Ahmed Eid for some time. Really feel he proved his worth in the Olympics,Mon Aug 19 23:50:54 +0000 2024,0,0
125,M.R. Walker,"@rayalmeda @warriors @NBA Nope. Steph coming off Olympics summer, no defined #2 scorer, relying on JoKu/Podz to play at a high level all season, Steph/Dray age, Hield/Melton/Anderson underwhelm. I'd be curious WHY they think this.",Mon Aug 19 23:50:52 +0000 2024,1,1
126,STEVEN XAVIER,"@Olympics @Anne_Hidalgo @BBCNews I was taught when I was a kid that it was okay to drink wine! And that it was okay to eat pork, and that it was okay to eat hamburger!! THOSE ARE ALL LIES!! GRAPE ALCOHOL ROT YOUR GUT, AND PORK SHOULD NOT BE CONSUMED BY HUMANS!! https://t.co/lvUh7xNp01",Mon Aug 19 23:50:48 +0000 2024,0,0
127,Crazy Wines ❤️,"@crash4l1f3 @KellyScaletta CF45 is known for a long time, far and wide, for that crap. You don’t want to believe that, but you will believe that a trans woman competed in women’s boxing at the Olympics, even though there’s solid proof that she’s fully female. Am I right?",Mon Aug 19 23:50:43 +0000 2024,0,1
128,madAtoms23,"@stoolpresidente I would imagine or I guess hope that any rational thinking person would think the upcoming election is more important than playing time for their hometown guy during the Olympics, regardless of how they vote.",Mon Aug 19 23:50:39 +0000 2024,0,1
129,Patron,you mean to tell me you saw Etoo/Yaya toure play football and you had the audacity to put salah in the same sentence as them 😂? Etoo is a 4x Champions league winner 3x AFCON winner Olympics winner salah hasn’t even won a stone for his country. Etoo has 4 goals in the CL final,Mon Aug 19 23:50:29 +0000 2024,0,2
130,hotHeadAsh,@IcyVert Atlantis hosting the Olympics 2028 he preparing for the climate,Mon Aug 19 23:50:28 +0000 2024,0,0
131,Liv //OLYMPICS ERA...AGAIN 😭,@JacksonsMomo What tweet,Mon Aug 19 23:50:26 +0000 2024,0,1
132,BustaCrypto,@ClownWorld_ Bring it to the Olympics. Better than breakdancing! 🤣,Mon Aug 19 23:50:18 +0000 2024,0,0
133,Steve (loves🍌),"@sharrond62 I feel sorry for the para Olympians, in 2012 they got the same attention as the able bodied I was hooked on wheel chair basketball.

France has killed the Olympic dream for so many because the interest just isn’t there because they allowed woke to kill it.",Mon Aug 19 23:50:22 +0000 2024,0,2
134,💯BostonBiceps💯,@MattWallace888 Average? She’s an Olympic athlete haha,Mon Aug 19 23:50:08 +0000 2024,0,1
135,LB Classic,The DNC should add having the Olympics every year to the platform.,Mon Aug 19 23:50:05 +0000 2024,0,6
136,gen🦘,@__samich Don’t speak that into existence,Mon Aug 19 23:49:57 +0000 2024,0,0
137,Hockey Attic,@hogamadog @WhoeverBy 1960 Olympic goalie Jack McCartan.,Mon Aug 19 23:49:56 +0000 2024,0,5
138,Ntombi A. Peters is on Bluesky,"My former mayor and current Representative Robert Garcia. He was also part of the USA Olympic goodwill delegation to Paris. He’s moving and shaking!

#DNC2024CHICAGO 
 #DNCConvention2024 https://t.co/P9PGN7gWbZ",Mon Aug 19 23:49:54 +0000 2024,0,1
139,Robert W Dianda,Democratic conventions should be an Olympic sport. More crowds and media than Paris. Security versus the protesters. Kamala flip flop competition going to win gold.,Mon Aug 19 23:49:51 +0000 2024,0,0
140,Pika 💙💛,"Parents for some reason asked me about Pokémon Go today — apparently cuz the world champ this year is from Hong Kong lol. 

Always rated GO over VGC, Pokémon Go should be an Olympic sport.",Mon Aug 19 23:49:48 +0000 2024,0,1
141,BallsyUcunt,"@CTVNews If they are so cool, how is that going to work in the winter??

Jesus flipping cripes … think things through!

What a boneheaded idea. This is almost as bad as nutsack at an Olympic opening ceremony!
#TotallyUcuntStatement",Mon Aug 19 23:49:40 +0000 2024,0,1
142,K,@JadenAFC £20M for a goalkeeper who at the Olympics was second choice to a goalkeeper who is currently third choice goalkeeper at PSG 😭,Mon Aug 19 23:49:38 +0000 2024,0,1
